Rank,bootstrap,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_r2_mean,Best_Model
35,TRUE,30,sqrt,1,7,700,985.3779611,41.00801792,645.4479601,0.861172948,FALSE
36,TRUE,30,sqrt,1,7,500,989.645242,41.6592799,648.6733722,0.859947429,FALSE
37,TRUE,30,sqrt,1,10,200,1013.659992,47.91318072,669.7556818,0.853083925,FALSE
38,TRUE,30,sqrt,1,10,700,1019.163311,39.61406251,673.5739515,0.851506343,FALSE
39,TRUE,30,sqrt,1,10,500,1020.21315,41.97754723,674.6298286,0.851166709,FALSE
40,TRUE,30,sqrt,1,10,300,1020.442335,43.21079126,675.2945882,0.851101405,FALSE
41,TRUE,50,sqrt,2,2,700,1044.297907,53.46872949,686.1746909,0.843988442,FALSE
42,TRUE,50,sqrt,2,3,700,1044.297907,53.46872949,686.1746909,0.843988442,FALSE
43,TRUE,50,sqrt,2,3,500,1048.786683,55.19032396,690.6473949,0.84261014,FALSE
44,TRUE,50,sqrt,2,2,500,1048.786683,55.19032396,690.6473949,0.84261014,FALSE
45,TRUE,50,sqrt,2,2,300,1049.594193,58.81403287,692.4426443,0.842314025,FALSE
46,TRUE,50,sqrt,2,3,300,1049.594193,58.81403287,692.4426443,0.842314025,FALSE
47,TRUE,50,sqrt,2,5,200,1051.93521,41.54941454,692.4788979,0.841764378,FALSE
48,TRUE,50,sqrt,2,3,200,1052.991599,55.97972253,694.9989081,0.841348455,FALSE
49,TRUE,50,sqrt,2,2,200,1052.991599,55.97972253,694.9989081,0.841348455,FALSE
50,TRUE,50,sqrt,2,5,300,1053.045189,46.46842064,692.6918591,0.841324303,FALSE
51,TRUE,50,sqrt,2,5,500,1053.998546,50.79572437,693.591841,0.841065091,FALSE
52,TRUE,50,sqrt,2,5,700,1054.374327,48.23968016,694.4989742,0.840985887,FALSE
53,TRUE,50,sqrt,2,7,200,1064.141292,50.25205925,704.8623247,0.837995376,FALSE
54,TRUE,50,sqrt,2,7,300,1064.575968,50.8708562,704.1435907,0.837838087,FALSE
55,TRUE,50,sqrt,2,7,500,1067.342746,53.02237873,706.5168161,0.83698825,FALSE
56,TRUE,50,sqrt,2,7,700,1067.474652,51.44932211,705.8390153,0.836981898,FALSE
57,TRUE,50,sqrt,2,10,200,1080.995282,47.51054235,716.7577508,0.832825019,FALSE
58,TRUE,50,sqrt,2,10,300,1081.666872,51.11064886,717.6335713,0.832575468,FALSE
59,TRUE,50,sqrt,2,10,700,1083.555574,53.64053398,718.687149,0.832009457,FALSE
60,TRUE,50,sqrt,2,10,500,1086.282075,53.53684923,721.1840448,0.831139258,FALSE
61,TRUE,30,sqrt,2,3,700,1120.510406,47.02294025,755.4920686,0.820471504,FALSE
62,TRUE,30,sqrt,2,2,700,1120.510406,47.02294025,755.4920686,0.820471504,FALSE
63,TRUE,30,sqrt,2,2,200,1120.660871,48.57759964,758.8260567,0.820420095,FALSE
64,TRUE,30,sqrt,2,3,200,1120.660871,48.57759964,758.8260567,0.820420095,FALSE
65,TRUE,30,sqrt,2,2,300,1120.865959,45.95114356,757.8463036,0.820310332,FALSE
66,TRUE,30,sqrt,2,3,300,1120.865959,45.95114356,757.8463036,0.820310332,FALSE
67,TRUE,30,sqrt,2,2,500,1123.556621,49.77519375,758.4751596,0.819436696,FALSE
68,TRUE,30,sqrt,2,3,500,1123.556621,49.77519375,758.4751596,0.819436696,FALSE
69,TRUE,30,sqrt,2,5,200,1133.334119,58.40989562,766.9866202,0.816231579,FALSE
70,TRUE,30,sqrt,2,5,700,1136.184196,51.47746624,767.4089659,0.815390225,FALSE
71,TRUE,30,sqrt,2,7,200,1136.650902,47.48572142,767.6326842,0.815212028,FALSE
72,TRUE,30,sqrt,2,5,300,1136.954497,55.26900947,768.4055899,0.815056257,FALSE
73,TRUE,30,sqrt,2,7,700,1139.663094,47.29451204,768.9712299,0.814271671,FALSE
74,TRUE,30,sqrt,2,5,500,1141.621997,57.56813287,771.955911,0.813534008,FALSE
75,TRUE,30,sqrt,2,7,300,1142.701173,52.66367179,772.9197254,0.813158773,FALSE
76,TRUE,30,sqrt,2,7,500,1144.821844,48.86235743,774.3127836,0.81254922,FALSE
77,TRUE,30,sqrt,2,10,200,1151.779679,65.79348234,779.9342858,0.810100199,FALSE
78,TRUE,30,sqrt,2,10,300,1152.517912,62.66234191,779.6056094,0.809855247,FALSE
79,TRUE,30,sqrt,2,10,700,1157.836287,60.14773394,784.4488173,0.808201631,FALSE
80,TRUE,30,sqrt,2,10,500,1158.655575,64.52951196,784.8019728,0.807837903,FALSE
81,TRUE,20,sqrt,1,5,200,1188.481462,54.53562405,821.7943297,0.798046921,FALSE
82,TRUE,20,sqrt,1,2,300,1189.090554,48.80726621,822.0423879,0.797824207,FALSE
83,TRUE,20,sqrt,1,2,200,1189.62673,41.25182063,824.1638028,0.797748188,FALSE
84,TRUE,20,sqrt,1,3,200,1189.774006,44.29434732,823.2507886,0.797647517,FALSE
85,TRUE,20,sqrt,1,3,300,1192.850841,39.70974653,824.5978003,0.796562592,FALSE
86,TRUE,20,sqrt,1,2,500,1192.945367,46.98310275,825.9539697,0.796548953,FALSE
87,TRUE,20,sqrt,1,2,700,1193.091709,42.72866344,825.9914086,0.796554894,FALSE
88,TRUE,20,sqrt,1,5,300,1199.321346,47.99867657,829.3966879,0.794356175,FALSE
89,TRUE,20,sqrt,1,3,700,1200.960285,40.17009429,831.8747732,0.79386317,FALSE
90,TRUE,20,sqrt,1,3,500,1204.544394,39.15997897,835.5172484,0.792602982,FALSE
91,TRUE,20,sqrt,1,5,700,1208.911343,45.06405074,836.1019654,0.791100926,FALSE
92,TRUE,20,sqrt,1,5,500,1212.523445,47.08316739,840.3499834,0.789810175,FALSE
93,TRUE,20,sqrt,1,7,200,1222.67822,55.84508181,849.4813141,0.786154399,FALSE
94,TRUE,20,sqrt,1,7,300,1224.036727,50.89686329,849.2108753,0.785706184,FALSE
95,TRUE,20,sqrt,1,7,500,1225.773079,51.81759914,850.2285987,0.785101633,FALSE
96,TRUE,20,sqrt,1,7,700,1226.589346,44.77352937,850.5371285,0.784919535,FALSE
97,TRUE,50,sqrt,4,3,300,1234.909554,56.59086939,842.5219429,0.78177803,FALSE
98,TRUE,50,sqrt,4,7,300,1234.909554,56.59086939,842.5219429,0.78177803,FALSE
99,TRUE,50,sqrt,4,2,300,1234.909554,56.59086939,842.5219429,0.78177803,FALSE
100,TRUE,50,sqrt,4,5,300,1234.909554,56.59086939,842.5219429,0.78177803,FALSE
101,TRUE,50,sqrt,4,5,200,1235.890779,56.17351747,844.7868602,0.781467572,FALSE
102,TRUE,50,sqrt,4,3,200,1235.890779,56.17351747,844.7868602,0.781467572,FALSE
103,TRUE,50,sqrt,4,2,200,1235.890779,56.17351747,844.7868602,0.781467572,FALSE
104,TRUE,50,sqrt,4,7,200,1235.890779,56.17351747,844.7868602,0.781467572,FALSE
105,TRUE,50,sqrt,4,5,500,1245.89629,48.95829588,852.0569835,0.778007562,FALSE
106,TRUE,50,sqrt,4,2,500,1245.89629,48.95829588,852.0569835,0.778007562,FALSE
107,TRUE,50,sqrt,4,7,500,1245.89629,48.95829588,852.0569835,0.778007562,FALSE
108,TRUE,50,sqrt,4,3,500,1245.89629,48.95829588,852.0569835,0.778007562,FALSE
109,TRUE,50,sqrt,4,10,300,1246.328774,47.81769052,852.8628248,0.777864823,FALSE
110,TRUE,50,sqrt,4,10,200,1248.520347,53.28557407,856.4475272,0.77707826,FALSE
111,TRUE,20,sqrt,1,10,200,1248.784906,39.15830395,870.5497199,0.77715432,FALSE
112,TRUE,50,sqrt,4,3,700,1250.33406,45.0879741,855.6223225,0.776490685,FALSE
113,TRUE,50,sqrt,4,2,700,1250.33406,45.0879741,855.6223225,0.776490685,FALSE
114,TRUE,50,sqrt,4,5,700,1250.33406,45.0879741,855.6223225,0.776490685,FALSE
115,TRUE,50,sqrt,4,7,700,1250.33406,45.0879741,855.6223225,0.776490685,FALSE
116,TRUE,20,sqrt,1,10,300,1252.351036,36.76141862,873.2645669,0.775864784,FALSE
117,TRUE,50,sqrt,4,10,500,1252.888508,50.34166263,857.9799027,0.775516545,FALSE
118,TRUE,20,sqrt,1,10,700,1253.807398,42.40583949,873.1411031,0.775312787,FALSE
119,TRUE,20,sqrt,1,10,500,1256.681829,43.07366518,876.6106387,0.774254912,FALSE
120,TRUE,50,sqrt,4,10,700,1258.599207,47.47009702,862.9027405,0.77350991,FALSE
121,TRUE,30,sqrt,4,7,200,1278.687761,56.42663328,884.4233575,0.766102964,FALSE
122,TRUE,30,sqrt,4,2,200,1278.687761,56.42663328,884.4233575,0.766102964,FALSE
123,TRUE,30,sqrt,4,3,200,1278.687761,56.42663328,884.4233575,0.766102964,FALSE
124,TRUE,30,sqrt,4,5,200,1278.687761,56.42663328,884.4233575,0.766102964,FALSE
125,TRUE,30,sqrt,4,2,300,1280.376729,56.06917316,884.5174768,0.765431858,FALSE
126,TRUE,30,sqrt,4,3,300,1280.376729,56.06917316,884.5174768,0.765431858,FALSE
127,TRUE,30,sqrt,4,7,300,1280.376729,56.06917316,884.5174768,0.765431858,FALSE
128,TRUE,30,sqrt,4,5,300,1280.376729,56.06917316,884.5174768,0.765431858,FALSE
129,TRUE,30,sqrt,4,10,300,1286.090784,48.91553451,887.914107,0.76348988,FALSE
130,TRUE,30,sqrt,4,10,200,1287.161178,57.59143991,891.2032108,0.763090304,FALSE
131,TRUE,30,sqrt,4,3,500,1289.681178,48.23134916,892.8167776,0.762125126,FALSE
132,TRUE,30,sqrt,4,5,500,1289.681178,48.23134916,892.8167776,0.762125126,FALSE
133,TRUE,30,sqrt,4,2,500,1289.681178,48.23134916,892.8167776,0.762125126,FALSE
134,TRUE,30,sqrt,4,7,500,1289.681178,48.23134916,892.8167776,0.762125126,FALSE
135,TRUE,30,sqrt,4,2,700,1290.63908,43.88805011,893.0467002,0.761844779,FALSE
136,TRUE,30,sqrt,4,5,700,1290.63908,43.88805011,893.0467002,0.761844779,FALSE
137,TRUE,30,sqrt,4,7,700,1290.63908,43.88805011,893.0467002,0.761844779,FALSE
138,TRUE,30,sqrt,4,3,700,1290.63908,43.88805011,893.0467002,0.761844779,FALSE
139,TRUE,30,sqrt,4,10,500,1290.670583,48.6323281,891.8945487,0.7618064,FALSE
140,TRUE,30,sqrt,4,10,700,1292.895538,48.79956732,893.5817402,0.761021009,FALSE
141,TRUE,20,sqrt,2,2,200,1299.774671,60.16183308,912.122764,0.758389298,FALSE
142,TRUE,20,sqrt,2,3,200,1299.774671,60.16183308,912.122764,0.758389298,FALSE
143,TRUE,20,sqrt,2,5,200,1309.162585,53.91405871,919.0856747,0.754975286,FALSE
144,TRUE,20,sqrt,2,3,700,1309.560108,53.30620424,918.6652329,0.754812849,FALSE
145,TRUE,20,sqrt,2,2,700,1309.560108,53.30620424,918.6652329,0.754812849,FALSE
146,TRUE,20,sqrt,2,2,300,1309.631554,60.23247376,919.1248856,0.754655317,FALSE
147,TRUE,20,sqrt,2,3,300,1309.631554,60.23247376,919.1248856,0.754655317,FALSE
148,TRUE,20,sqrt,2,2,500,1311.033973,52.53578487,920.0742552,0.754218468,FALSE
149,TRUE,20,sqrt,2,3,500,1311.033973,52.53578487,920.0742552,0.754218468,FALSE
150,TRUE,20,sqrt,2,7,200,1313.048625,40.98224593,918.8818998,0.753589307,FALSE
151,TRUE,20,sqrt,2,5,700,1316.365065,54.89258974,922.4941365,0.752221483,FALSE
152,TRUE,20,sqrt,2,5,300,1316.368974,52.57118224,924.5584715,0.752206637,FALSE
153,TRUE,20,sqrt,2,5,500,1320.38124,57.45372316,927.4319272,0.750646228,FALSE
154,TRUE,20,sqrt,2,7,700,1321.141445,52.62007677,924.9328658,0.750453571,FALSE
155,TRUE,20,sqrt,2,10,200,1321.910372,46.24640692,927.2489535,0.750266385,FALSE
156,TRUE,20,sqrt,2,7,500,1323.834797,52.78621071,928.2697914,0.749375311,FALSE
157,TRUE,20,sqrt,2,7,300,1325.524836,45.09258713,929.3946721,0.74877009,FALSE
158,TRUE,20,sqrt,2,10,300,1334.37787,45.70242475,936.9742469,0.745502721,FALSE
159,TRUE,20,sqrt,2,10,700,1335.449084,46.11341163,938.1130047,0.745115895,FALSE
160,TRUE,20,sqrt,2,10,500,1336.626526,46.09020047,939.1502493,0.744652914,FALSE
161,TRUE,50,sqrt,6,10,200,1356.034703,51.93385724,948.381495,0.736989519,FALSE
162,TRUE,50,sqrt,6,2,200,1356.034703,51.93385724,948.381495,0.736989519,FALSE
163,TRUE,50,sqrt,6,7,200,1356.034703,51.93385724,948.381495,0.736989519,FALSE
164,TRUE,50,sqrt,6,5,200,1356.034703,51.93385724,948.381495,0.736989519,FALSE
165,TRUE,50,sqrt,6,3,200,1356.034703,51.93385724,948.381495,0.736989519,FALSE
166,TRUE,50,sqrt,6,10,300,1358.160272,49.3367232,946.8958192,0.736211307,FALSE
167,TRUE,50,sqrt,6,3,300,1358.160272,49.3367232,946.8958192,0.736211307,FALSE
168,TRUE,50,sqrt,6,7,300,1358.160272,49.3367232,946.8958192,0.736211307,FALSE
169,TRUE,50,sqrt,6,5,300,1358.160272,49.3367232,946.8958192,0.736211307,FALSE
170,TRUE,50,sqrt,6,2,300,1358.160272,49.3367232,946.8958192,0.736211307,FALSE
171,TRUE,50,sqrt,6,5,500,1364.555178,50.26780281,952.2178531,0.733760085,FALSE
172,TRUE,50,sqrt,6,2,500,1364.555178,50.26780281,952.2178531,0.733760085,FALSE
173,TRUE,50,sqrt,6,7,500,1364.555178,50.26780281,952.2178531,0.733760085,FALSE
174,TRUE,50,sqrt,6,10,500,1364.555178,50.26780281,952.2178531,0.733760085,FALSE
175,TRUE,50,sqrt,6,3,500,1364.555178,50.26780281,952.2178531,0.733760085,FALSE
176,TRUE,50,sqrt,6,5,700,1369.973065,51.07984751,957.9046723,0.731684358,FALSE
177,TRUE,50,sqrt,6,10,700,1369.973065,51.07984751,957.9046723,0.731684358,FALSE
178,TRUE,50,sqrt,6,2,700,1369.973065,51.07984751,957.9046723,0.731684358,FALSE
179,TRUE,50,sqrt,6,3,700,1369.973065,51.07984751,957.9046723,0.731684358,FALSE
180,TRUE,50,sqrt,6,7,700,1369.973065,51.07984751,957.9046723,0.731684358,FALSE
181,TRUE,30,sqrt,6,3,200,1370.158624,49.50803809,960.2240795,0.731543634,FALSE
182,TRUE,30,sqrt,6,10,200,1370.158624,49.50803809,960.2240795,0.731543634,FALSE
183,TRUE,30,sqrt,6,2,200,1370.158624,49.50803809,960.2240795,0.731543634,FALSE
184,TRUE,30,sqrt,6,7,200,1370.158624,49.50803809,960.2240795,0.731543634,FALSE
185,TRUE,30,sqrt,6,5,200,1370.158624,49.50803809,960.2240795,0.731543634,FALSE
186,TRUE,30,sqrt,6,5,300,1374.843452,47.48049807,961.7899392,0.729721748,FALSE
187,TRUE,30,sqrt,6,10,300,1374.843452,47.48049807,961.7899392,0.729721748,FALSE
188,TRUE,30,sqrt,6,3,300,1374.843452,47.48049807,961.7899392,0.729721748,FALSE
189,TRUE,30,sqrt,6,7,300,1374.843452,47.48049807,961.7899392,0.729721748,FALSE
190,TRUE,30,sqrt,6,2,300,1374.843452,47.48049807,961.7899392,0.729721748,FALSE
191,TRUE,30,sqrt,6,3,500,1384.092307,48.21386049,970.7059335,0.72612061,FALSE
192,TRUE,30,sqrt,6,5,500,1384.092307,48.21386049,970.7059335,0.72612061,FALSE
193,TRUE,30,sqrt,6,7,500,1384.092307,48.21386049,970.7059335,0.72612061,FALSE
194,TRUE,30,sqrt,6,10,500,1384.092307,48.21386049,970.7059335,0.72612061,FALSE
195,TRUE,30,sqrt,6,2,500,1384.092307,48.21386049,970.7059335,0.72612061,FALSE
196,TRUE,30,sqrt,6,10,700,1386.235204,50.04392497,973.26794,0.725305409,FALSE
197,TRUE,30,sqrt,6,3,700,1386.235204,50.04392497,973.26794,0.725305409,FALSE
198,TRUE,30,sqrt,6,7,700,1386.235204,50.04392497,973.26794,0.725305409,FALSE
199,TRUE,30,sqrt,6,5,700,1386.235204,50.04392497,973.26794,0.725305409,FALSE
200,TRUE,30,sqrt,6,2,700,1386.235204,50.04392497,973.26794,0.725305409,FALSE
201,TRUE,20,sqrt,4,3,200,1396.187059,49.39924673,986.9550385,0.721322292,FALSE
202,TRUE,20,sqrt,4,7,200,1396.187059,49.39924673,986.9550385,0.721322292,FALSE
203,TRUE,20,sqrt,4,2,200,1396.187059,49.39924673,986.9550385,0.721322292,FALSE
204,TRUE,20,sqrt,4,5,200,1396.187059,49.39924673,986.9550385,0.721322292,FALSE
205,TRUE,20,sqrt,4,7,300,1398.739074,57.60882597,988.1474518,0.720181528,FALSE
206,TRUE,20,sqrt,4,5,300,1398.739074,57.60882597,988.1474518,0.720181528,FALSE
207,TRUE,20,sqrt,4,2,300,1398.739074,57.60882597,988.1474518,0.720181528,FALSE
208,TRUE,20,sqrt,4,3,300,1398.739074,57.60882597,988.1474518,0.720181528,FALSE
209,TRUE,20,sqrt,4,5,500,1409.541495,51.13383305,998.2162452,0.715953322,FALSE
210,TRUE,20,sqrt,4,2,500,1409.541495,51.13383305,998.2162452,0.715953322,FALSE
211,TRUE,20,sqrt,4,7,500,1409.541495,51.13383305,998.2162452,0.715953322,FALSE
212,TRUE,20,sqrt,4,3,500,1409.541495,51.13383305,998.2162452,0.715953322,FALSE
213,TRUE,20,sqrt,4,7,700,1410.678304,48.70471479,999.1892323,0.715551938,FALSE
214,TRUE,20,sqrt,4,5,700,1410.678304,48.70471479,999.1892323,0.715551938,FALSE
215,TRUE,20,sqrt,4,3,700,1410.678304,48.70471479,999.1892323,0.715551938,FALSE
216,TRUE,20,sqrt,4,2,700,1410.678304,48.70471479,999.1892323,0.715551938,FALSE
217,TRUE,20,sqrt,4,10,300,1412.201054,46.27523718,1002.053281,0.714901301,FALSE
218,TRUE,20,sqrt,4,10,200,1412.459117,39.49881264,1005.851444,0.714853709,FALSE
219,TRUE,20,sqrt,4,10,700,1413.161974,50.46578078,1000.582797,0.714529522,FALSE
220,TRUE,20,sqrt,4,10,500,1415.084511,47.87998831,1003.435452,0.713719265,FALSE
221,TRUE,50,sqrt,8,5,300,1444.822189,38.73671875,1019.632623,0.701526289,FALSE
222,TRUE,50,sqrt,8,7,300,1444.822189,38.73671875,1019.632623,0.701526289,FALSE
223,TRUE,50,sqrt,8,10,300,1444.822189,38.73671875,1019.632623,0.701526289,FALSE
224,TRUE,50,sqrt,8,3,300,1444.822189,38.73671875,1019.632623,0.701526289,FALSE
225,TRUE,50,sqrt,8,2,300,1444.822189,38.73671875,1019.632623,0.701526289,FALSE
226,TRUE,50,sqrt,8,10,200,1453.969237,40.29766252,1029.418177,0.697812517,FALSE
227,TRUE,50,sqrt,8,2,200,1453.969237,40.29766252,1029.418177,0.697812517,FALSE
228,TRUE,50,sqrt,8,3,200,1453.969237,40.29766252,1029.418177,0.697812517,FALSE
229,TRUE,50,sqrt,8,5,200,1453.969237,40.29766252,1029.418177,0.697812517,FALSE
230,TRUE,50,sqrt,8,7,200,1453.969237,40.29766252,1029.418177,0.697812517,FALSE
231,TRUE,50,sqrt,8,10,500,1454.474087,36.9249098,1027.267847,0.697611647,FALSE
232,TRUE,50,sqrt,8,3,500,1454.474087,36.9249098,1027.267847,0.697611647,FALSE
233,TRUE,50,sqrt,8,2,500,1454.474087,36.9249098,1027.267847,0.697611647,FALSE
234,TRUE,50,sqrt,8,7,500,1454.474087,36.9249098,1027.267847,0.697611647,FALSE
235,TRUE,50,sqrt,8,5,500,1454.474087,36.9249098,1027.267847,0.697611647,FALSE
236,TRUE,50,sqrt,8,5,700,1456.472673,38.94186583,1028.394478,0.696774541,FALSE
237,TRUE,50,sqrt,8,3,700,1456.472673,38.94186583,1028.394478,0.696774541,FALSE
238,TRUE,50,sqrt,8,7,700,1456.472673,38.94186583,1028.394478,0.696774541,FALSE
239,TRUE,50,sqrt,8,2,700,1456.472673,38.94186583,1028.394478,0.696774541,FALSE
240,TRUE,50,sqrt,8,10,700,1456.472673,38.94186583,1028.394478,0.696774541,FALSE
241,TRUE,20,sqrt,6,5,200,1458.559457,47.60751568,1039.05417,0.695786084,FALSE
242,TRUE,20,sqrt,6,3,200,1458.559457,47.60751568,1039.05417,0.695786084,FALSE
243,TRUE,20,sqrt,6,2,200,1458.559457,47.60751568,1039.05417,0.695786084,FALSE
244,TRUE,20,sqrt,6,7,200,1458.559457,47.60751568,1039.05417,0.695786084,FALSE
245,TRUE,20,sqrt,6,10,200,1458.559457,47.60751568,1039.05417,0.695786084,FALSE
246,TRUE,30,sqrt,8,5,300,1458.980055,40.55970316,1033.117885,0.695644723,FALSE
247,TRUE,30,sqrt,8,7,300,1458.980055,40.55970316,1033.117885,0.695644723,FALSE
248,TRUE,30,sqrt,8,3,300,1458.980055,40.55970316,1033.117885,0.695644723,FALSE
249,TRUE,30,sqrt,8,2,300,1458.980055,40.55970316,1033.117885,0.695644723,FALSE
250,TRUE,30,sqrt,8,10,300,1458.980055,40.55970316,1033.117885,0.695644723,FALSE
251,TRUE,30,sqrt,8,7,200,1466.521746,39.86385552,1041.988099,0.692572104,FALSE
252,TRUE,30,sqrt,8,2,200,1466.521746,39.86385552,1041.988099,0.692572104,FALSE
253,TRUE,30,sqrt,8,3,200,1466.521746,39.86385552,1041.988099,0.692572104,FALSE
254,TRUE,30,sqrt,8,10,200,1466.521746,39.86385552,1041.988099,0.692572104,FALSE
255,TRUE,30,sqrt,8,5,200,1466.521746,39.86385552,1041.988099,0.692572104,FALSE
256,TRUE,20,sqrt,6,3,300,1467.535594,44.75477164,1044.972893,0.692090429,FALSE
257,TRUE,20,sqrt,6,5,300,1467.535594,44.75477164,1044.972893,0.692090429,FALSE
258,TRUE,20,sqrt,6,10,300,1467.535594,44.75477164,1044.972893,0.692090429,FALSE
259,TRUE,20,sqrt,6,2,300,1467.535594,44.75477164,1044.972893,0.692090429,FALSE
260,TRUE,20,sqrt,6,7,300,1467.535594,44.75477164,1044.972893,0.692090429,FALSE
261,TRUE,30,sqrt,8,7,500,1468.542822,38.93568294,1040.563746,0.691720027,FALSE
262,TRUE,30,sqrt,8,5,500,1468.542822,38.93568294,1040.563746,0.691720027,FALSE
263,TRUE,30,sqrt,8,2,500,1468.542822,38.93568294,1040.563746,0.691720027,FALSE
264,TRUE,30,sqrt,8,3,500,1468.542822,38.93568294,1040.563746,0.691720027,FALSE
265,TRUE,30,sqrt,8,10,500,1468.542822,38.93568294,1040.563746,0.691720027,FALSE
266,TRUE,30,sqrt,8,5,700,1468.957162,39.60460566,1040.435739,0.691554773,FALSE
267,TRUE,30,sqrt,8,2,700,1468.957162,39.60460566,1040.435739,0.691554773,FALSE
268,TRUE,30,sqrt,8,7,700,1468.957162,39.60460566,1040.435739,0.691554773,FALSE
269,TRUE,30,sqrt,8,3,700,1468.957162,39.60460566,1040.435739,0.691554773,FALSE
270,TRUE,30,sqrt,8,10,700,1468.957162,39.60460566,1040.435739,0.691554773,FALSE
271,TRUE,20,sqrt,6,7,500,1478.826729,51.28614982,1054.972546,0.687336031,FALSE
272,TRUE,20,sqrt,6,3,500,1478.826729,51.28614982,1054.972546,0.687336031,FALSE
273,TRUE,20,sqrt,6,2,500,1478.826729,51.28614982,1054.972546,0.687336031,FALSE
274,TRUE,20,sqrt,6,10,500,1478.826729,51.28614982,1054.972546,0.687336031,FALSE
275,TRUE,20,sqrt,6,5,500,1478.826729,51.28614982,1054.972546,0.687336031,FALSE
276,TRUE,20,sqrt,6,10,700,1480.764164,52.74158938,1056.810252,0.686550438,FALSE
277,TRUE,20,sqrt,6,3,700,1480.764164,52.74158938,1056.810252,0.686550438,FALSE
278,TRUE,20,sqrt,6,2,700,1480.764164,52.74158938,1056.810252,0.686550438,FALSE
279,TRUE,20,sqrt,6,7,700,1480.764164,52.74158938,1056.810252,0.686550438,FALSE
280,TRUE,20,sqrt,6,5,700,1480.764164,52.74158938,1056.810252,0.686550438,FALSE
281,TRUE,20,sqrt,8,3,300,1520.416531,39.09808369,1088.957157,0.669569815,FALSE
282,TRUE,20,sqrt,8,5,300,1520.416531,39.09808369,1088.957157,0.669569815,FALSE
